valid,poll_date,poll_type,qual_n,poll_votes,album_year,band_name,album_name,poll_percent
1,30-Jun-19,final,,16,1970,Black Sabbath,Black Sabbath,43.8
1,30-Jun-19,final,,16,1970,Deep Purple,In Rock,18.8
1,30-Jun-19,final,,16,1970,Black Sabbath,Paranoid,31.3
1,30-Jun-19,final,,16,1970,Uriah Heep,"Very 'eavy, Very 'umble",6.3
1,5-Jul-19,final,,32,1971,Black Sabbath,Master of Reality,68.8
1,5-Jul-19,final,,32,1971,Deep Purple,Fire Ball,9.4
1,5-Jul-19,final,,32,1971,Led Zeppelin,IV,18.8
1,5-Jul-19,final,,32,1971,Uriah Heep,Salisbury,3.1
1,12-Jul-19,final,,23,1972,Black Sabbath,Vol. 4,73.9
1,12-Jul-19,final,,23,1972,Deep Purple,Machine Head,13
1,12-Jul-19,final,,23,1972,Night Sun,Mournin',8.7
1,12-Jul-19,final,,23,1972,Uriah Heep,Demons & Wizards,4.3
1,27-Jul-19,final,,25,1973,Black Sabbath,Sabbath Bloody Sabbath,80
1,27-Jul-19,final,,25,1973,Budgie,Never Turn Your,8
1,27-Jul-19,final,,25,1973,Queen,Queen,12
1,27-Jul-19,final,,25,1973,Uriah Heep,Sweet Freedom,0
1,9-Aug-19,final,,28,1974,Budgie,In for the Kill,14.3
1,9-Aug-19,final,,28,1974,Queen,II,46.4
1,9-Aug-19,final,,28,1974,Rush,Rush,28.6
1,9-Aug-19,final,,28,1974,Scorpions,Rainbow,10.7
1,16-Aug-19,final,,25,1975,Black Sabbath,Sabatoge,72
1,16-Aug-19,final,,25,1975,Budgie,Bandolier,0
1,16-Aug-19,final,,25,1975,Rainbow,s/t,16
1,16-Aug-19,final,,25,1975,Scorpions,In Trance,12
1,21-Aug-19,final,,59,1976,Black Sabbath,Technical Extasy,3.4
1,21-Aug-19,final,,59,1976,Judas Priest,Sad Wings of Destiny,28.8
1,21-Aug-19,final,,59,1976,Rainbow,Rising,33.9
1,21-Aug-19,final,,59,1976,Rush,2112,33.9
1,30-Aug-19,final,,48,1977,Judas Priest,Sin after Sin,37.5
1,30-Aug-19,final,,48,1977,Motorhead,Motorhead,39.6
1,30-Aug-19,final,,48,1977,Scorpions,Taken by Force,12.5
1,30-Aug-19,final,,48,1977,UFO,Lights Out,10.4
1,5-Sep-19,final,,51,1978,Judas Priest,Stained Class,35.3
