band_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
AC/DC,0,0,0,0,0,0,0,0,0,0,3.03030303,2.777777778,2.564102564,2.380952381,2.222222222,2.083333333,1.960784314,1.851851852,1.754385965,1.666666667,1.666666667
Accept,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agent Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Witch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annihilator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.291989664,1.223990208,1.162790698,1.162790698
Artillery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789,0.5,0.5
Black Sabbath,75,71.875,72.55434783,74.41576087,59.5326087,61.61050725,53.29326771,46.63160925,41.45031933,37.3052874,33.91389764,31.0877395,28.69637492,26.64663386,24.8701916,23.31580462,21.94428671,20.72515967,19.63436179,18.6526437,18.6526437
Budgie,0,0,0,2,4.457142857,3.714285714,3.183673469,2.785714286,2.476190476,2.228571429,2.025974026,1.857142857,1.714285714,1.591836735,1.485714286,1.392857143,1.31092437,1.238095238,1.172932331,1.114285714,1.114285714
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candlemass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carcass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celtic Frost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.427419355,3.225806452,3.886388264,3.681841513,3.497749437,3.497749437
Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.291989664,1.223990208,1.162790698,1.162790698
Death Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep Purple,18.75,14.0625,13.72282609,10.29211957,8.233695652,6.861413043,5.88121118,5.146059783,4.574275362,4.116847826,3.742588933,3.430706522,3.16680602,2.94060559,2.744565217,2.573029891,2.421675192,2.287137681,2.166762014,2.058423913,2.058423913
Def Leppard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
