band_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
AC/DC,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
Accept,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
Agent Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Angel Witch,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Annihilator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,55,55,55,58
Artillery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bathory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,22,50,50,50
Black Sabbath,12,34,51,71,71,89,91,91,91,91,91,91,91,91,91,91,91,91,91,95,95
Budgie,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Candlemass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,14,17,17
Carcass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,37
Celtic Frost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,78,78,78,82
Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,17
Dark Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,59,59,80
Death Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
Deep Purple,3,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Def Leppard,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5
Deicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6
Diamond Head,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
Entombed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Exciter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
Exodus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,11
Faith No More,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
Flotsam & Jetsam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Guns n' Roses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54,54
Helloween,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,25,30,30,30
Holocaust,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Iron Maiden,0,0,0,0,0,0,0,0,0,0,7,20,25,33,34,34,64,64,135,135,135
Judas Priest,0,0,0,0,0,0,17,35,53,53,54,54,54,54,55,55,55,55,60,60,60
King Diamond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8
Kreator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,19,19,36,56
Led Zeppelin,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Manilla Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Manowar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
Megadeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,17,31,31,59
Mercyful Fate,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,8,8,8,8
Metal Church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
Metallica,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,17,44,44,123,123,123
Morbid Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52
Motley Crue,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9
Motorhead,0,0,0,0,0,0,0,19,19,28,34,34,34,34,34,34,36,36,36,36,36
Napalm Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,26,36
Night Sun,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nocturnus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nuclear Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4
Obituary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43
Onslaught,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
Ozzy Osbourne,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
Paradise Lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Pestilence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Possessed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
Queen,0,0,0,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Queensryche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
Rainbow,0,0,0,0,0,4,24,24,35,35,35,35,35,35,35,35,35,35,35,35,35
Raven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush,0,0,0,0,8,8,28,28,37,37,37,37,37,37,37,37,37,37,37,37,37
Sabbat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,16
Sarcofago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saxon,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Scorpions,0,0,0,0,3,6,6,25,25,27,27,27,27,27,27,27,27,27,27,27,27
Sepultura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56
Skid Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Slayer,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,37,37,91,91,109
Sodom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,26,26
Suicidal Tendencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11
Testament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,9
Thin Lizzy,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
UFO,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Uriah Heep,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Van Halen,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13
Venom,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,6,6,6,6
Voivod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,40,40,40
"W.A,S.P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Witchfynde,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
